('10.240.0.249:7680', '10.240.15.129:53709')
('10.240.14.3:62673', '255.255.255.255:22222')
('10.240.0.61:8009', '10.240.0.249:57980')
('10.7.11.235:58339', '10.0.136.7:53')
('10.240.0.249:49566', '52.54.217.78:443')
('13.107.246.48:443', '10.240.0.249:59291')
('10.240.8.229:5353', '224.0.0.251:5353')
('142.250.192.14:443', '10.240.0.249:56369')
('10.240.0.249:58980', '216.58.200.202:443')
('10.240.1.152:17500', '255.255.255.255:17500')
('10.240.0.249:56180', '10.240.8.31:8009')
('10.240.14.241:5353', '224.0.0.251:5353')
('10.7.11.235:52836', '10.0.136.7:53')
('10.240.10.122:5353', '224.0.0.251:5353')
('10.240.6.214:5353', '224.0.0.251:5353')
('10.240.14.170:137', '10.240.31.255:137')
('10.240.10.71:5353', '224.0.0.251:5353')
('10.240.14.3:62678', '255.255.255.255:22222')
('10.7.11.235:53697', '142.251.42.69:443')
('10.7.11.235:58570', '180.149.61.76:443')
('10.7.11.235:55181', '142.250.194.78:443')
('10.240.2.36:5353', '224.0.0.251:5353')
('10.7.11.235:59255', '142.250.193.3:443')
('10.240.0.183:5353', '224.0.0.251:5353')
('10.7.11.235:53700', '142.250.70.42:443')
('10.7.11.235:61232', '10.0.136.7:53')
('10.7.11.235:53283', '10.0.136.7:53')
('34.226.43.28:443', '10.7.11.235:53676')
('10.7.11.235:55793', '10.0.136.7:53')
('10.240.5.31:5353', '224.0.0.251:5353')
('10.240.1.72:53900', '224.0.0.252:5355')
('10.7.11.235:65158', '10.0.136.7:53')
('10.240.7.166:5353', '224.0.0.251:5353')
('10.240.1.72:54361', '224.0.0.252:5355')
('10.0.136.7:53', '10.7.11.235:63159')
('142.250.194.78:443', '10.7.11.235:65470')
('216.58.200.170:443', '10.7.11.235:64965')
('10.7.11.235:56347', '180.149.61.76:443')
('10.7.11.235:63052', '10.0.136.7:53')
('0.0.0.0:68', '255.255.255.255:67')
('180.149.61.76:443', '10.7.11.235:58570')
('10.240.0.91:5353', '224.0.0.251:5353')
('10.7.11.235:63029', '142.250.77.46:443')
('10.7.11.235:63316', '142.250.192.142:443')
('142.250.194.78:443', '10.7.11.235:64613')
('10.240.1.95:5353', '224.0.0.251:5353')
